kind,metric,rho,tau,wins,full,rule
gate,high:vlm_best_dims_mean|low:claude_vlm_completeness_norm,0.9596352493074689,0.8887915030886636,54/54,16/18,extended_seconds_frac>=0.364
gate,high:vlm_best_dims_mean|low:selected3_mean,0.9596273245613073,0.8885968274750946,54/54,17/18,tribe_pressure>=0.522
soft_gate,high:claude_vlm_completeness_norm|low:all4_mean,0.9596273245613073,0.8885968274750946,54/54,17/18,weight=high_need_seconds_frac
gate,high:claude_vlm_specificity_norm|low:all4_mean,0.9595812491170829,0.8915932518566194,52/54,14/18,mean_speech_density>=0.682
gate,high:claude_vlm_completeness_norm|low:all4_mean,0.9595574193446175,0.8911986542485087,53/54,15/18,mean_speech_density>=0.682
gate,high:vlm_best_dims_mean|low:strict_all4_80adqa_20clip,0.9595498977998335,0.884297180593919,54/54,17/18,mean_need>=0.378
gate,high:vlm_best_dims_mean|low:strict_all4_80adqa_20clip,0.9595394882595881,0.8829622426181291,54/54,17/18,mean_speech_density>=1.000
gate,high:claude_vlm_completeness_norm|low:all4_mean,0.959509765125194,0.890214447814352,54/54,17/18,tribe_pressure>=0.522
gate,high:claude_vlm_completeness_norm|low:vlm_best_dims_mean,0.959504635434197,0.8914624405006971,54/54,16/18,mean_need>=0.393
soft_gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.9594938819630751,0.8898216772468924,54/54,16/18,weight=extended_seconds_frac
soft_gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.9594938819630751,0.8898216772468924,54/54,16/18,weight=tribe_pressure
gate,high:vlm_best_dims_mean|low:claude_vlm_specificity_norm,0.9593957191641878,0.8894868426284637,54/54,17/18,mean_need>=0.549
gate,high:vlm_best_dims_mean|low:claude_vlm_specificity_norm,0.9593957191641878,0.8894868426284637,54/54,17/18,high_need_seconds_frac>=0.759
gate,high:vlm_best_dims_mean|low:claude_vlm_specificity_norm,0.9593957191641878,0.8894868426284637,54/54,17/18,tribe_pressure>=0.919
gate,high:selected3_mean|low:claude_vlm_specificity_norm,0.9593681826672892,0.8931711435604086,54/54,16/18,max_need>=0.838
gate,high:vlm_best_dims_mean|low:claude_vlm_specificity_norm,0.9593640250818494,0.888901204349704,54/54,17/18,extended_seconds_frac>=0.628
