clip_key,corpus,clip_idx,video_id,category,window_idx,start_s,end_s,scene_spatial_gap,agent_action_gap,control_gap,mean_visual_gap,peak_visual_gap,dominant_type,dominance_margin,visual_minus_control,raw_trs,route
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,3.0,vLGOZvJ_v4Q_000285_000295,Food & Cooking,0,0.0,3.278,0.2469658038026467,0.18620048439869097,0.14551007404839672,0.2469658038026467,0.26836471342838564,scene_spatial,0.06076531940395574,0.10145572975424999,2,static_ad_ok_low_gap
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,3.0,vLGOZvJ_v4Q_000285_000295,Food & Cooking,1,3.278,6.556,0.07320658977612177,0.06650184332193937,0.20250192913902437,0.07842951623264216,0.11574213444851567,scene_spatial,0.0067047464541823976,-0.1292953393629026,2,static_ad_ok_low_gap
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,3.0,vLGOZvJ_v4Q_000285_000295,Food & Cooking,2,6.556,9.834,0.062059217350507734,0.04486526766964466,0.2350432773404491,0.062059217350507734,0.07950508773704534,scene_spatial,0.017193949680863074,-0.17298405998994137,2,static_ad_ok_low_gap
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,3.0,vLGOZvJ_v4Q_000285_000295,Food & Cooking,3,9.834,13.112,0.06584872430281652,0.04417823269104609,0.15414061178645944,0.06584872430281652,0.07428645805676659,scene_spatial,0.021670491611770426,-0.08829188748364292,2,static_ad_ok_low_gap
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,3.0,vLGOZvJ_v4Q_000285_000295,Food & Cooking,4,13.112,16.39,0.08001650757704964,0.03228308962692711,0.08477396898018214,0.08001650757704964,0.09585840608053664,scene_spatial,0.047733417950122536,-0.00475746140313249,2,static_ad_ok_low_gap
inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,4.0,B0EKYDSv_yQ_000002_000012,Food & Cooking,0,0.0,3.874,0.11788757155016094,0.05358503059287373,0.045716459809340915,0.11788757155016094,0.16097172643125546,scene_spatial,0.06430254095728721,0.07217111174082003,2,static_ad_ok_low_gap
inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,4.0,B0EKYDSv_yQ_000002_000012,Food & Cooking,1,3.874,7.748,0.05967254005835293,0.031121002795901687,0.06071604559054805,0.05967254005835293,0.06165737632202106,scene_spatial,0.028551537262451243,-0.0010435055321951214,2,static_ad_ok_low_gap
inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,4.0,B0EKYDSv_yQ_000002_000012,Food & Cooking,2,7.748,9.685,0.06960629769329085,0.03438409568337608,0.10830812942121981,0.06960629769329085,0.06960629769329085,scene_spatial,0.03522220200991477,-0.03870183172792896,1,static_ad_ok_low_gap
inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,4.0,B0EKYDSv_yQ_000002_000012,Food & Cooking,3,9.685,13.559000000000001,0.11556572430992057,0.05151574197282888,0.1455457090216591,0.11556572430992057,0.12993070970750464,scene_spatial,0.0640499823370917,-0.029979984711738517,2,static_ad_ok_low_gap
inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,4.0,B0EKYDSv_yQ_000002_000012,Food & Cooking,4,13.559000000000001,15.496,0.2858741038820771,0.506424502407856,0.016992098230559693,0.506424502407856,0.506424502407856,agent_action,0.22055039852577885,0.4894324041772963,1,action_state_or_agent_cue
inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,4.0,B0EKYDSv_yQ_000002_000012,Food & Cooking,5,15.496,19.37,0.17534641838165338,0.09247710028064371,0.21200188990156543,0.17534641838165338,0.23414972525406963,scene_spatial,0.08286931810100967,-0.03665547151991205,2,static_ad_ok_low_gap
inbench_clip_05_PbGvLf7HvXQ_000063_000073,inbench,5.0,PbGvLf7HvXQ_000063_000073,Food & Cooking,0,0.0,4.47,0.15221651200206474,0.2488520936864358,0.08997899573880803,0.2805258472153855,0.6033110038429528,agent_action,0.09663558168437106,0.15887309794762777,3,action_state_or_agent_cue
inbench_clip_05_PbGvLf7HvXQ_000063_000073,inbench,5.0,PbGvLf7HvXQ_000063_000073,Food & Cooking,1,4.47,7.45,0.07369560700388422,0.03414129308239178,0.10559878870884537,0.07369560700388422,0.0799804016421859,scene_spatial,0.039554313921492446,-0.03190318170496115,2,static_ad_ok_low_gap
