clip_key,corpus,category,accessibility_gap,auditory_control,body_eba_region,early_visual_v1,face_ffc,higher_visual_v2v3v4,language_control,lateral_object_loc,motion_mt_complex,retrosplenial_pos,scene_ppa
external_heWD9j45Emw_000225_000235,external,Music,0.10306860522075945,0.09326414529394733,0.04421922734415784,0.028781317263901984,0.018896340931144784,0.01623231983964557,0.06053597004172928,0.01214992569577944,0.023936866683017533,0.05820726759250261,0.025498436002831415
external_iEAWgsSvJAE_000023_000033,external,Film & Animation,0.1313394420555405,0.049388602799159464,0.20082522465555408,0.3524794038138863,0.19953425581593787,0.04718401146119833,0.022933638415795543,0.080338694086461,0.34687585072704497,0.12063288896179025,0.05191601357834097
external_iGmGQxox43I_000000_000010,external,How-to & Instructional,0.07374964623506675,0.03738732315288662,0.0214102147901728,0.023181644229186782,0.03679697471117238,0.04031036597630022,0.043745213990137866,0.009944267331558398,0.010526615998364908,0.022511129438439137,0.031895146048086076
external_iZP6gjlr_nM_000113_000123,external,How-to & Instructional,0.23138371134517244,0.41902971152130597,0.018623749414565016,0.4429159666081479,0.04283432404531229,0.08082198259838269,0.19110479207866693,0.014392150301776874,0.013784961389048833,0.44665591675764593,0.38384375832559403
external_j4CKRgv3jUg_000000_000010,external,Entertainment,0.19822803697395375,0.008125920925908137,0.090816264029423,0.17603684786742013,0.10874050736686702,0.1126642090731369,0.02814771123213755,0.07335143843773362,0.03503347580535354,0.5608778729153208,1.1158731883198216
external_j6CgiNeWQwM_000842_000852,external,Food & Cooking,0.2593017481760773,0.0971099012678992,0.025976584863673602,0.17659741686340757,0.04241022852497156,0.0513829756538674,0.17099549758724863,0.012535445010856239,0.04463468747210564,1.2030458955359202,0.20710111633568196
external_jeweRSnAJeo_000050_000060,external,Film & Animation,0.3140341851728842,0.07358971385763846,0.10880691143271748,1.1525013645272177,0.12671138605963272,0.2792387022279006,0.15061601045885298,0.07704422043204573,0.22306590097657952,0.8099946582442428,0.04916917270037269
external_lgJywzzdUC8_000000_000010,external,Event,0.2670980013596652,0.07447395317841743,0.05433102853026994,0.1390541128208278,0.14691302904815906,0.06360796041746564,0.10055271780094965,0.02790414185938017,0.05144865110089991,0.47555714835568497,0.45400569663324064
external_rGQ64NXktF8_000006_000016,external,People & Vlogs,0.10773152569050348,0.017594379809418914,0.015453798479236558,0.16886103271862052,0.01394987574190698,0.028924087959636968,0.023032033738116686,0.004682800550319333,0.021637310657957154,0.976179421133663,0.04202338194899169
external_u-olDM7oGGM_000012_000022,external,Health & Wellness,0.12743765015316133,0.07193977808250052,0.010695111843468497,0.08235327066407816,0.0264295231270667,0.044541600748720156,0.16921686857272655,0.00989680035339513,0.008273475819178033,0.12711468476966292,0.044393581954258465
external_v2Hr1CH-yb0_000076_000086,external,How-to & Instructional,0.3238461558501835,0.018543715973199815,0.13932535976191984,0.5864984913493807,0.2537425109423267,0.10479042338583411,0.04407109264807729,0.0681553025055478,0.11581420820842403,0.6064141581503002,0.5927612141383984
external_wbOD_G3ttgU_000083_000093,external,How-to & Instructional,0.09981857813019979,0.04760817735215006,0.01737404402226639,0.07283036340993143,0.0228683482816342,0.023475426929121523,0.05364822686533721,0.012847366832774432,0.01259735217680702,0.17681958894448158,0.1170424782681776
external_xW6hpK-DBMY_000080_000090,external,How-to & Instructional,0.07645312735790255,0.011170650712661212,0.023956293403756712,0.1551897749510721,0.11014331884574091,0.07417294132977026,0.03201771241748308,0.028486059411689357,0.029768672548626585,0.033534461468308185,0.06270995479006525
external_yBO8rAMeqjc_000007_000017,external,"Education, Seminar & Talks",0.21581907279355772,0.16040763808594427,0.046237955308220724,0.15235328290304395,0.12053166368231139,0.03327695411247089,0.09288904409871035,0.02532313857054236,0.0922424231911061,0.21876432288443493,0.09901737806248223
external_zTJ0Zbv1jBo_000045_000055,external,Health & Wellness,0.15725142385544388,0.008736255706877527,0.06029941128507477,0.19898008315062155,0.10057072728068472,0.12304372765984362,0.03345034782811729,0.08747982924109732,0.062491683930792186,0.703550911004125,1.4009606608159564
