video_id,clip_key,category,mean_visual_gap,max_visual_gap,top1_vs_uniform,dominant_clip_type,top_windows,adqa_fail,clip_fail,ensemble_fail,adqa_full_order,clip_full_order,ensemble_full_order
RjPp0ZPW0yc_000000_000010,external_RjPp0ZPW0yc_000000_000010,How-to & Instructional,0.2663328261450171,0.40561520414596874,1.5229636166783023,scene_spatial,"0.0-3.6s scene_spatial (layout_replay_or_scene_cue, peak=0.406); 6.4-9.1s scene_spatial (layout_replay_or_scene_cue, peak=0.372); 3.6-6.4s scene_spatial (layout_replay_or_scene_cue, peak=0.332)",0,0,0,1,1,1
xW6hpK-DBMY_000080_000090,external_xW6hpK-DBMY_000080_000090,How-to & Instructional,0.1357094317782581,0.4012098956713289,2.9563891795441624,agent_action,"0.0-3.6s agent_action (action_state_or_agent_cue, peak=0.401); 9.1-10.0s scene_spatial (static_ad_ok_low_gap, peak=0.134); 3.6-6.4s scene_spatial (static_ad_ok_low_gap, peak=0.115)",0,0,0,1,1,1
D297atE3gag_000203_000213,external_D297atE3gag_000203_000213,How-to & Instructional,0.1299239569883623,0.39717339339819524,3.0569681112296423,agent_action,"0.0-3.0s agent_action (action_state_or_agent_cue, peak=0.397); 3.0-6.0s agent_action (static_ad_ok_low_gap, peak=0.120); 6.0-9.0s scene_spatial (static_ad_ok_low_gap, peak=0.088)",0,0,0,1,1,1
1kLhK8KfIEw_000020_000030,external_1kLhK8KfIEw_000020_000030,How-to & Instructional,0.29248868425036373,0.38394841934619484,1.3126949520465674,scene_spatial,"9.0-10.0s scene_spatial (layout_replay_or_scene_cue, peak=0.384); 3.0-6.0s scene_spatial (layout_replay_or_scene_cue, peak=0.343); 0.0-3.0s scene_spatial (layout_replay_or_scene_cue, peak=0.342)",1,0,0,0,1,1
lgJywzzdUC8_000000_000010,external_lgJywzzdUC8_000000_000010,Event,0.19169140750254027,0.3726289204622779,1.9438999656640314,scene_spatial,"9.0-10.0s scene_spatial (layout_replay_or_scene_cue, peak=0.373); 6.0-9.0s scene_spatial (layout_replay_or_scene_cue, peak=0.312); 0.0-3.0s scene_spatial (static_ad_ok_low_gap, peak=0.260)",0,1,0,1,0,1
c_gQ9CSaZY4_000000_000010,external_c_gQ9CSaZY4_000000_000010,How-to & Instructional,0.1399189380536967,0.352719957851357,2.520887899506453,scene_spatial,"6.4-9.1s scene_spatial (layout_replay_or_scene_cue, peak=0.353); 3.6-6.4s scene_spatial (static_ad_ok_low_gap, peak=0.178); 0.0-3.6s agent_action (static_ad_ok_low_gap, peak=0.126)",0,0,0,1,1,1
9eBhetL8n5Q_000222_000232,external_9eBhetL8n5Q_000222_000232,People & Vlogs,0.14147990362291418,0.34703246003305044,2.4528745860471792,scene_spatial,"0.0-3.6s scene_spatial (layout_replay_or_scene_cue, peak=0.347); 3.6-6.4s scene_spatial (static_ad_ok_low_gap, peak=0.138); 9.1-10.0s scene_spatial (static_ad_ok_low_gap, peak=0.115)",0,0,0,1,1,1
u-olDM7oGGM_000012_000022,external_u-olDM7oGGM_000012_000022,Health & Wellness,0.1198731951225767,0.3219531003410223,2.6857805868260054,scene_spatial,"0.0-3.0s agent_action (action_state_or_agent_cue, peak=0.322); 6.0-9.0s scene_spatial (static_ad_ok_low_gap, peak=0.178); 9.0-10.0s scene_spatial (static_ad_ok_low_gap, peak=0.105)",0,0,0,1,1,1
A0e7Z55s8pE_000008_000018,external_A0e7Z55s8pE_000008_000018,How-to & Instructional,0.15554551796359717,0.3003551588281119,1.9309791934885905,scene_spatial,"0.0-3.3s agent_action (static_ad_ok_low_gap, peak=0.300); 6.7-10.0s scene_spatial (static_ad_ok_low_gap, peak=0.168); 3.3-6.7s scene_spatial (static_ad_ok_low_gap, peak=0.150)",0,0,0,1,1,1
3ufJNSez5Is_000008_000018,external_3ufJNSez5Is_000008_000018,How-to & Instructional,0.10754064404636283,0.28478637695885756,2.6481743668568756,scene_spatial,"0.0-3.0s agent_action (static_ad_ok_low_gap, peak=0.285); 9.0-10.0s scene_spatial (static_ad_ok_low_gap, peak=0.187); 6.0-9.0s scene_spatial (static_ad_ok_low_gap, peak=0.115)",0,1,0,1,0,1
yBO8rAMeqjc_000007_000017,external_yBO8rAMeqjc_000007_000017,"Education, Seminar & Talks",0.11940467948937346,0.26673991495174454,2.2339150868495343,agent_action,"0.0-3.0s agent_action (static_ad_ok_low_gap, peak=0.267); 3.0-6.0s agent_action (static_ad_ok_low_gap, peak=0.234); 6.0-9.0s scene_spatial (static_ad_ok_low_gap, peak=0.112)",0,1,0,1,0,1
