clip_key,corpus,category,dominant_roi,visual_mean,control_mean,visual_minus_control,scene_mean,social_action_mean,scene_minus_social_action,accessibility_gap,video_id,adqa_fail,ensemble_fail
external_750QhTe9Z4U_000000_000010,external,People & Vlogs,retrosplenial_pos,0.049608909585377864,0.03531641268263036,0.014292496902747504,0.08490648789011049,0.01431133128064524,0.07059515660946525,0.14713961311655743,750QhTe9Z4U_000000_000010,0,0
external_8vkNr_eysXY_000002_000012,external,How-to & Instructional,retrosplenial_pos,0.35142403129017274,0.15257118603411401,0.19885284525605873,0.6521277075548599,0.050720355025485525,0.6014073525293744,0.28544253278590037,8vkNr_eysXY_000002_000012,1,0
external_9eBhetL8n5Q_000222_000232,external,People & Vlogs,retrosplenial_pos,0.07581370723305776,0.020073276485412794,0.05574043074764497,0.1226139002656042,0.02901351420051132,0.09360038606509288,0.08706709611323915,9eBhetL8n5Q_000222_000232,0,0
external_9fuIpQgnNEQ_000049_000059,external,Event,retrosplenial_pos,0.02094670884040975,0.09189608202395311,-0.07094937318354336,0.027420969104033993,0.014472448576785507,0.012948520527248486,0.059317410929392245,9fuIpQgnNEQ_000049_000059,0,0
external_A0e7Z55s8pE_000008_000018,external,How-to & Instructional,scene_ppa,0.24092215453174065,0.2079993647273537,0.032922789804386954,0.3719437349081717,0.10990057415530957,0.2620431607528621,0.20038740685368284,A0e7Z55s8pE_000008_000018,0,0
external_AEkLDauJVi0_000069_000079,external,Food & Cooking,scene_ppa,0.3577808379580858,0.22108444708495145,0.13669639087313434,0.6571550364791532,0.05840663943701843,0.5987483970421348,0.2927704809327547,AEkLDauJVi0_000069_000079,0,0
external_BHxn3qfPAl4_000018_000028,external,Health & Wellness,scene_ppa,0.28395407153857005,0.04348389034291217,0.24047018119565788,0.4311516833290402,0.13675645974809994,0.2943952235809403,0.24304902467431522,BHxn3qfPAl4_000018_000028,0,0
external_BcW6Y7eufQE_000239_000249,external,People & Vlogs,early_visual_v1,0.10344192626030954,0.10236230584715805,0.0010796204131514886,0.17348016003516858,0.0334036924854505,0.1400764675497181,0.1366415140927154,BcW6Y7eufQE_000239_000249,0,0
external_Bss3WwpDdS8_000041_000051,external,People & Vlogs,scene_ppa,0.12627647507801543,0.018928012943998818,0.10734846213401661,0.23423822902271768,0.018314721133313172,0.2159235078894045,0.08183499042899356,Bss3WwpDdS8_000041_000051,0,0
external_Ccgwurislg8_000082_000092,external,How-to & Instructional,retrosplenial_pos,0.2363094659411143,0.07917101154408218,0.1571384543970321,0.4137958077799084,0.05882312410232024,0.35497268367758816,0.26079431953837284,Ccgwurislg8_000082_000092,1,0
external_D297atE3gag_000203_000213,external,How-to & Instructional,scene_ppa,0.09539330001615544,0.01872759216907738,0.07666570784707806,0.14279548859458024,0.04799111143773063,0.09480437715684961,0.08751459644998993,D297atE3gag_000203_000213,0,0
external_EA3HCx0yTIY_000281_000291,external,Music,lateral_object_loc,0.7728150760207769,0.019263991580166007,0.7535510844406109,0.6230362915855907,0.9225938604559631,-0.29955756887037244,0.24461457565097622,EA3HCx0yTIY_000281_000291,0,0
external_F-mRnL_XmJU_000000_000010,external,Entertainment,retrosplenial_pos,0.24821589544982986,0.16320157260271728,0.08501432284711258,0.44466066007044247,0.05177113082921728,0.3928895292412252,0.22856270395830125,F-mRnL_XmJU_000000_000010,0,0
external_GOH6fBhoi2o_000010_000020,external,Entertainment,early_visual_v1,0.48282117316937684,0.07089274972819082,0.411928423441186,0.8261507827098893,0.13949156362886436,0.6866592190810249,0.3961782650029143,GOH6fBhoi2o_000010_000020,1,1
external_HpRmj5ce32c_000001_000011,external,Sports,early_visual_v1,0.3384797760265794,0.1713514049576333,0.16712837106894612,0.4140179943041084,0.2629415577490505,0.15107643655505792,0.276380794057565,HpRmj5ce32c_000001_000011,0,0
external_N-LZPc27kjM_000229_000239,external,How-to & Instructional,retrosplenial_pos,0.11404471986523093,0.04893538964461286,0.06510933022061807,0.20494759120776085,0.023141848522701014,0.18180574268505983,0.09554951254932365,N-LZPc27kjM_000229_000239,0,0
external_OASCPKazLIM_000132_000142,external,How-to & Instructional,retrosplenial_pos,0.24082782946306064,0.10043526738751918,0.14039256207554146,0.4302114697351619,0.05144418919095936,0.3787672805442025,0.18390168094751747,OASCPKazLIM_000132_000142,0,0
external_RjPp0ZPW0yc_000000_000010,external,How-to & Instructional,retrosplenial_pos,0.31835970972351574,0.04907526568032422,0.2692844440431915,0.5937689185900465,0.0429505008569849,0.5508184177330616,0.2282156072672632,RjPp0ZPW0yc_000000_000010,0,0
external_RlfVK8z5wJ0_000000_000010,external,Sports,early_visual_v1,0.21183318291762632,0.05373507684630202,0.1580981060713243,0.406926803265457,0.01673956256979564,0.39018724069566135,0.1645468950413399,RlfVK8z5wJ0_000000_000010,0,0
